City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
mattru,91,SL,1595868108,81,7.62,-11.83,77.56,5.68
ushuaia,90,AR,1595867826,87,-54.8,-68.3,32.0,28.86
bunbury,32,AU,1595868308,98,-33.33,115.63,54.0,8.03
ribeira grande,20,PT,1595867965,83,38.52,-28.7,77.0,10.29
khatanga,17,RU,1595868165,78,71.97,102.5,41.74,5.57
barcelos,0,BR,1595868308,48,-0.97,-62.92,90.23,3.11
taltal,21,CL,1595868308,52,-25.4,-70.48,64.74,3.06
la rochelle,90,FR,1595868283,69,46.17,-1.15,75.2,12.75
dikson,79,RU,1595867828,88,73.51,80.55,38.62,15.03
hermanus,0,ZA,1595867827,76,-34.42,19.23,57.0,3
saint george,40,BM,1595867966,66,32.38,-64.68,86.0,12.75
jarva-jaani,30,EE,1595868308,81,59.04,25.89,68.95,4.65
banda aceh,100,ID,1595868308,85,5.56,95.32,79.3,16.82
albany,49,AU,1595867826,93,-35.02,117.89,53.6,10.29
okhotsk,99,RU,1595867898,90,59.38,143.3,55.69,1.52
nizwa,79,OM,1595868309,57,22.93,57.53,85.64,4.27
half moon bay,90,US,1595868164,82,37.46,-122.43,66.99,3.36
rio gallegos,40,AR,1595868184,74,-51.62,-69.22,37.4,28.86
atuona,8,PF,1595867828,72,-9.8,-139.03,79.32,25.93
rikitea,100,PF,1595867895,74,-23.12,-134.97,71.26,14.07
sora,20,IT,1595868309,38,41.72,13.61,91.4,5.82
pathum thani,20,TH,1595868309,79,14.01,100.53,86.0,8.05
opuwo,0,NA,1595868106,26,-18.06,13.84,67.05,8.5
kruisfontein,0,ZA,1595867825,69,-34,24.73,57.0,1.01
olinda,75,BR,1595867814,61,-8.01,-34.86,82.4,16.11
hilo,90,US,1595867826,88,19.73,-155.09,75.2,3.36
magnolia,40,US,1595868309,70,33.27,-93.24,84.2,3.22
puerto ayora,75,EC,1595867828,78,-0.74,-90.35,71.6,16.11
nanortalik,100,GL,1595867965,86,60.14,-45.24,46.8,7.2
